org_command,org_LTL,org_proposition_order,generated_LTL,generated_command
Go to room A.,F(InRoomA),['InRoomA'],['F(InRoomA)'],"['Move to room A.', 'Proceed to room A.', 'Head towards room A.', 'Journey to room A.', 'Navigate towards room A.', 'Travel to room A.', 'Shift to room A.', 'Relocate to room A.', 'Roam to room A.', 'Make your way to room A.']"
Go to room B.,F(InRoomB),['InRoomB'],"['F(InRoomB)', 'F(InRoomB ∧ InRoomB)', 'F(InRoomB ∨ InRoomB)', 'F(InRoomB → InRoomB)', 'F((InRoomB ∨ InRoomB) → InRoomB)', 'F(InRoomB → (InRoomB ∨ InRoomB))']","['Proceed to room B', 'Make your way to room B', 'Head towards room B', 'Move to room B', 'Navigate to room B', 'Travel to room B', 'Walk towards room B', 'Go in the direction of room B', 'Reach room B', 'Pursue the path to room B']"
Go to room C.,F(InRoomC),['InRoomC'],['F(InRoomC)'],"['Proceed to room C.', 'Make your way to room C.', 'Move towards room C.', 'Head to room C.', 'Travel to room C.', 'Navigate to room C.', 'Journey to room C.', 'Go in the direction of room C.', 'Start moving to room C.', 'Direct yourself to room C.']"
Pick up the spray.,F(SprayPickedUp),['SprayPickedUp'],"['F(SprayPickedUp)', 'F(¬(¬(SprayPickedUp)))', 'F((SprayPickedUp) ∨ (SprayPickedUp))', 'F((SprayPickedUp) ∧ (SprayPickedUp))', 'F(¬(¬((SprayPickedUp) ∨ (SprayPickedUp))))', 'F(¬(¬((SprayPickedUp) ∧ (SprayPickedUp))))', 'F((SprayPickedUp) ∨ (¬(¬(SprayPickedUp))))', 'F((SprayPickedUp) ∧ (¬(¬(SprayPickedUp))))', 'F((¬(¬(SprayPickedUp))) ∨ (SprayPickedUp))', 'F((¬(¬(SprayPickedUp))) ∧ (SprayPickedUp))']","['Grab the spray', 'Take hold of the spray', 'Get the spray', 'Grasp the spray', 'Seize the spray', 'Catch the spray', 'Snatch the spray', 'Clutch the spray', 'Collect the spray', 'Procure the spray']"
Pick up the cup.,F(CupPickedUp),['CupPickedUp'],"['F(CupPickedUp)', 'F((CupPickedUp))', 'F(CupPickedUp ∧ CupPickedUp)', 'F((CupPickedUp ∨ CupPickedUp))', 'F((CupPickedUp) ∧ (CupPickedUp))', 'F(((CupPickedUp ∨ CupPickedUp) ∨ CupPickedUp))', 'F((CupPickedUp) → (CupPickedUp))', 'F((CupPickedUp ∧ CupPickedUp) ∧ CupPickedUp)', 'F((CupPickedUp) ∨ (CupPickedUp ∨ CupPickedUp))', 'F((CupPickedUp ∨ CupPickedUp) → CupPickedUp)']","['Grab the cup.', 'Take hold of the cup.', 'Get the cup.', 'Snatch the cup.', 'Seize the cup.', 'Collect the cup.', 'Obtain the cup.', 'Procure the cup.', 'Secure the cup.', 'Acquire the cup.']"
Pick up the coke can.,F(CokecanPickedUp),['CokecanPickedUp'],"['F(CokecanPickedUp)', 'F(F(CokecanPickedUp))', 'F(¬(¬(CokecanPickedUp)))', 'F(¬(CokecanPickedUp) → CokecanPickedUp)', 'F(CokecanPickedUp ∨ CokecanPickedUp)', 'F((CokecanPickedUp ∧ CokecanPickedUp))']","['Grab the coke can.', 'Get hold of the coke can.', 'Collect the coke can.', 'Take the coke can.', 'Snatch the coke can.', 'Clutch the coke can.', 'Seize the coke can.', 'Capture the coke can.', 'Fetch the coke can.', 'Procure the coke can.']"
Place the spray can in site A.,F(SprayPlacedInSiteA),['SprayPlacedInSiteA'],"['F(SprayPlacedInSiteA)', 'F(G(SprayPlacedInSiteA))', 'F((SprayPlacedInSiteA) ∨ (SprayPlacedInSiteA))', 'F((SprayPlacedInSiteA) ∧ (SprayPlacedInSiteA))', 'F(G((SprayPlacedInSiteA) ∨ (SprayPlacedInSiteA)))', 'F(G((SprayPlacedInSiteA) ∧ (SprayPlacedInSiteA)))', 'F((¬(¬(SprayPlacedInSiteA))))', 'F(¬(¬(SprayPlacedInSiteA)))', 'F(¬(¬((SprayPlacedInSiteA) ∨ (SprayPlacedInSiteA))))', 'F((¬(¬(SprayPlacedInSiteA))) ∧ (¬(¬(SprayPlacedInSiteA))))']","['Set the spray can at location A.', 'Put the spray can in site A.', 'Deposit the spray can in site A.', 'Settle the spray can at site A.', 'Position the spray can in site A.', 'Lay the spray can in site A.', 'Establish the spray can at location A.', 'Station the spray can at site A.', 'Install the spray can in site A.', 'Locate the spray can in site A.']"
Place the coke can in site A.,F(CokecanPlacedInSiteA),['CokecanPlacedInSiteA'],"['F(CokecanPlacedInSiteA)', 'F((CokecanPlacedInSiteA))', 'F(CokecanPlacedInSiteA → CokecanPlacedInSiteA)', 'F(CokecanPlacedInSiteA ∨ CokecanPlacedInSiteA)', 'F((CokecanPlacedInSiteA) ∧ CokecanPlacedInSiteA)', 'F((CokecanPlacedInSiteA ∨ CokecanPlacedInSiteA))']","['Put the coke can at site A.', 'Set the coke can down in site A.', 'Move the coke can to site A.', 'Relocate the coke can to site A.', 'Position the coke can in site A.', 'Deposit the coke can at site A.', 'Situate the coke can at site A.', 'Take the coke can to site A.', 'Leave the coke can at site A.', 'Transport the coke can to site A.']"
Place the cup in site A.,F(CupPlacedInSiteA),['CupPlacedInSiteA'],['F(CupPlacedInSiteA)'],"['Put the cup at location A.', 'Set the cup down in site A.', 'Relocate the cup to site A.', 'Move the cup to location A.', 'Deposit the cup in site A.', 'Transfer the cup to site A.', 'Reposition the cup to site A.', 'Carry the cup to location A.', 'Transport the cup to site A.', 'Bring the cup to location A.']"
Pick up the spray and place it in site A.,F(SprayPickedUp → SprayPlacedInSiteA),"['SprayPickedUp', 'SprayPlacedInSiteA']",['F(SprayPickedUp → SprayPlacedInSiteA)'],"['Grasp the spray and put it in site A.', 'Hold the spray and move it to site A.', 'Retrieve the spray and relocate it to site A.', 'Get the spray and transfer it to site A.', 'Lift the spray and set it down in site A.', 'Get hold of the spray and place it at site A.', 'Seize the spray and deposit it in site A.', 'Snatch the spray and drop it off at site A.', 'Gather the spray and deliver it to site A.', 'Catch the spray and position it in site A.']"
