id,ltl,sentence
1,finally(InRoomA),Move to room A.
2,finally(InRoomA),Proceed to room A.
3,finally(InRoomA),Head towards room A.
4,finally(InRoomA),Journey to room A.
5,finally(InRoomA),Navigate towards room A.
6,finally(InRoomA),Travel to room A.
7,finally(InRoomA),Shift to room A.
8,finally(InRoomA),Relocate to room A.
9,finally(InRoomA),Roam to room A.
10,finally(InRoomA),Make your way to room A.
11,finally(InRoomB),Proceed to room B
12,finally(InRoomB and InRoomB),Proceed to room B
13,finally(InRoomB or InRoomB),Proceed to room B
14,finally(InRoomB imply InRoomB),Proceed to room B
15,finally((InRoomB or InRoomB) imply InRoomB),Proceed to room B
16,finally(InRoomB imply (InRoomB or InRoomB)),Proceed to room B
17,finally(InRoomB),Make your way to room B
18,finally(InRoomB and InRoomB),Make your way to room B
19,finally(InRoomB or InRoomB),Make your way to room B
20,finally(InRoomB imply InRoomB),Make your way to room B
21,finally((InRoomB or InRoomB) imply InRoomB),Make your way to room B
22,finally(InRoomB imply (InRoomB or InRoomB)),Make your way to room B
23,finally(InRoomB),Head towards room B
24,finally(InRoomB and InRoomB),Head towards room B
25,finally(InRoomB or InRoomB),Head towards room B
26,finally(InRoomB imply InRoomB),Head towards room B
27,finally((InRoomB or InRoomB) imply InRoomB),Head towards room B
28,finally(InRoomB imply (InRoomB or InRoomB)),Head towards room B
29,finally(InRoomB),Move to room B
30,finally(InRoomB and InRoomB),Move to room B
31,finally(InRoomB or InRoomB),Move to room B
32,finally(InRoomB imply InRoomB),Move to room B
33,finally((InRoomB or InRoomB) imply InRoomB),Move to room B
34,finally(InRoomB imply (InRoomB or InRoomB)),Move to room B
35,finally(InRoomB),Navigate to room B
36,finally(InRoomB and InRoomB),Navigate to room B
37,finally(InRoomB or InRoomB),Navigate to room B
38,finally(InRoomB imply InRoomB),Navigate to room B
39,finally((InRoomB or InRoomB) imply InRoomB),Navigate to room B
40,finally(InRoomB imply (InRoomB or InRoomB)),Navigate to room B
41,finally(InRoomB),Travel to room B
42,finally(InRoomB and InRoomB),Travel to room B
43,finally(InRoomB or InRoomB),Travel to room B
44,finally(InRoomB imply InRoomB),Travel to room B
45,finally((InRoomB or InRoomB) imply InRoomB),Travel to room B
46,finally(InRoomB imply (InRoomB or InRoomB)),Travel to room B
47,finally(InRoomB),Walk towards room B
48,finally(InRoomB and InRoomB),Walk towards room B
49,finally(InRoomB or InRoomB),Walk towards room B
50,finally(InRoomB imply InRoomB),Walk towards room B
51,finally((InRoomB or InRoomB) imply InRoomB),Walk towards room B
52,finally(InRoomB imply (InRoomB or InRoomB)),Walk towards room B
53,finally(InRoomB),Go in the direction of room B
54,finally(InRoomB and InRoomB),Go in the direction of room B
55,finally(InRoomB or InRoomB),Go in the direction of room B
56,finally(InRoomB imply InRoomB),Go in the direction of room B
57,finally((InRoomB or InRoomB) imply InRoomB),Go in the direction of room B
58,finally(InRoomB imply (InRoomB or InRoomB)),Go in the direction of room B
59,finally(InRoomB),Reach room B
60,finally(InRoomB and InRoomB),Reach room B
61,finally(InRoomB or InRoomB),Reach room B
62,finally(InRoomB imply InRoomB),Reach room B
63,finally((InRoomB or InRoomB) imply InRoomB),Reach room B
64,finally(InRoomB imply (InRoomB or InRoomB)),Reach room B
65,finally(InRoomB),Pursue the path to room B
66,finally(InRoomB and InRoomB),Pursue the path to room B
67,finally(InRoomB or InRoomB),Pursue the path to room B
68,finally(InRoomB imply InRoomB),Pursue the path to room B
69,finally((InRoomB or InRoomB) imply InRoomB),Pursue the path to room B
70,finally(InRoomB imply (InRoomB or InRoomB)),Pursue the path to room B
71,finally(InRoomC),Proceed to room C.
72,finally(InRoomC),Make your way to room C.
73,finally(InRoomC),Move towards room C.
74,finally(InRoomC),Head to room C.
75,finally(InRoomC),Travel to room C.
76,finally(InRoomC),Navigate to room C.
77,finally(InRoomC),Journey to room C.
78,finally(InRoomC),Go in the direction of room C.
79,finally(InRoomC),Start moving to room C.
80,finally(InRoomC),Direct yourself to room C.
81,finally(SprayPickedUp),Grab the spray
82,finally(not(not(SprayPickedUp))),Grab the spray
83,finally((SprayPickedUp) or (SprayPickedUp)),Grab the spray
84,finally((SprayPickedUp) and (SprayPickedUp)),Grab the spray
85,finally(not(not((SprayPickedUp) or (SprayPickedUp)))),Grab the spray
86,finally(not(not((SprayPickedUp) and (SprayPickedUp)))),Grab the spray
87,finally((SprayPickedUp) or (not(not(SprayPickedUp)))),Grab the spray
88,finally((SprayPickedUp) and (not(not(SprayPickedUp)))),Grab the spray
89,finally((not(not(SprayPickedUp))) or (SprayPickedUp)),Grab the spray
90,finally((not(not(SprayPickedUp))) and (SprayPickedUp)),Grab the spray
91,finally(SprayPickedUp),Take hold of the spray
92,finally(not(not(SprayPickedUp))),Take hold of the spray
93,finally((SprayPickedUp) or (SprayPickedUp)),Take hold of the spray
94,finally((SprayPickedUp) and (SprayPickedUp)),Take hold of the spray
95,finally(not(not((SprayPickedUp) or (SprayPickedUp)))),Take hold of the spray
96,finally(not(not((SprayPickedUp) and (SprayPickedUp)))),Take hold of the spray
97,finally((SprayPickedUp) or (not(not(SprayPickedUp)))),Take hold of the spray
98,finally((SprayPickedUp) and (not(not(SprayPickedUp)))),Take hold of the spray
99,finally((not(not(SprayPickedUp))) or (SprayPickedUp)),Take hold of the spray
100,finally((not(not(SprayPickedUp))) and (SprayPickedUp)),Take hold of the spray
101,finally(SprayPickedUp),Get the spray
102,finally(not(not(SprayPickedUp))),Get the spray
103,finally((SprayPickedUp) or (SprayPickedUp)),Get the spray
104,finally((SprayPickedUp) and (SprayPickedUp)),Get the spray
105,finally(not(not((SprayPickedUp) or (SprayPickedUp)))),Get the spray
106,finally(not(not((SprayPickedUp) and (SprayPickedUp)))),Get the spray
107,finally((SprayPickedUp) or (not(not(SprayPickedUp)))),Get the spray
108,finally((SprayPickedUp) and (not(not(SprayPickedUp)))),Get the spray
109,finally((not(not(SprayPickedUp))) or (SprayPickedUp)),Get the spray
110,finally((not(not(SprayPickedUp))) and (SprayPickedUp)),Get the spray
